GRIN1	GRIN2C
NEDD4L	TGFB1
SEC16B	SEC16A
OS9	SYVN1
MAPK14	CTNNA2
PTPN1	FGA
ARHGEF7	PAK3
MFAP2	ELN
DVL2	KLHL12
ERBB4	MATK
TEK	PIK3R2
SKP2	CKS1B
CCNA2	TFDP1
NECTIN3	NECTIN1
RRM2B	GLRX
FCER1A	GRB2
ELMO2	DOCK1
ABRAXAS1	HERC2
TBC1D25	GABARAPL2
CD4	TRAV19
MYO1C	ACTG1
ATP1A3	ATP1B2
CCNB1	CDK1
FGFR4	KRAS
NPSR1	NPS
PRKG2	KCNMB4
F5	F10
BCL6	FOXO3
XDH	BTN1A1
NXF1	EIF4E
AP1G1	HLA-A
SERPING1	F12
NFKBIA	UBE2I
ADAM21	B4GALT1
KDM4B	H2AX
SOCS1	RBX1
CASP8	TRAF2
TRAF6	MAVS
SYNJ2	DNM2
USO1	GORASP1
POLA2	RPA2
REV1	ISG15
E2F3	SP1
KRT28	KRT26
BLNK	SOS1
GFRA3	PIK3CB
TFAP2B	SUMO1
CALM1	KRAS
EMILIN1	ELN
TIMELESS	CLSPN
MAP2K1	YWHAB
RAP1GAP	RAP1B
CD8B	CD247
CSK	SRC
ADD3	DMTN
C12orf66	CASTOR2
CHEK2	CDC25A
SOCS1	TYK2
PPP1CB	MYH10
RAD52	SUMO1
RAB1A	SEC23IP
VAV1	BTK
ELL3	ZC3H8
DLG4	PDLIM5
CD79B	IGHD
RAB6A	RABGAP1
PPP1R13B	TP53
JAK2	LYN
LAMA3	PLEC
ITFG2	NPRL3
RUNX2	BGLAP
IL13RA1	IL4
FGF19	SOS1
GFRA1	ARTN
EIF4A2	EIF2S2
DYNLL2	DCTN2
CDKN2A	TFDP1
EIF4E	PABPC1
GNA14	TRIO
MRE11	RMI1
EEF1AKMT2	EEF1A1
APAF1	E2F1
MLN	MLNR
CYP51A1	SP1
SRC	BTC
CD36	TLR6
GTF2F1	MYB
UBE2L6	FLNB
ITGA6	LAMC2
ARAF	KRAS
MAP2K6	MAPKAPK3
FOXK2	HCFC1
RPA2	REV3L
SRC	PAK3
PDPK1	BCL10
TNFRSF12A	BIRC3
FTL	CLINT1
AP1M2	AP1S1
KIF2C	KIF2A
PLIN2	HBB
GRIN2A	DLG4
ARNTL	NCOR1
HBB	RNASE1
GRIA3	LRFN1
ITGAM	ITGB2
IL19	JAK1
RPA2	RAD18
STAT1	JAK3
CDH2	SPAG9
EIF4A1	EIF4H
CSF2	GAB2
ERBB2	SOS1
F2R	F2RL2
BTRC	RELA
ATG14	AMBRA1
CRABP2	RARA
CRKL	SOS1
CNTN1	NOTCH2
PRKAG1	MLST8
AP1G1	CLVS2
NRCAM	KCNQ3
CBFB	EP300
GRK2	GNA15
KCNJ5	GNB1
AXIN1	GSK3B
F2	FGG
DYNLL1	PAFAH1B1
MADD	GDI1
C12orf66	ITFG2
IL4	STAT3
STK11	PRKAG3
FCGR2A	PLCG2
TRAF2	SIKE1
RB1	CDK2
GRIN1	LRFN2
NRP1	PAK1
SIRPA	PTK2B
PPP1R3C	EPM2A
NSL1	NUF2
KLRD1	SYK
NGF	FRS2
FCER1G	SYK
TGIF1	SMAD2
PTGES3	ESR2
TLE4	TCF7L2
SHC1	NTRK2
DLGAP5	MAML2
UBE2N	PCNA
UBE2T	RPA1
BDNF	GRB2
FCGR2A	VAV1
APBB1IP	RAP1B
JAK2	IL5RA
GRIP2	GRIA4
RBBP8	RAD51AP1
SCUBE2	DISP2
JAK2	GH1
IL12A	IL12RB1
ELMO1	PXN
CD247	CD1C
CDK9	SMAD3
CDK2	RPA2
HOXA2	EZH2
PRKACA	MECP2
CUL1	FZR1
GH1	PRL
IL15RA	IL2RB
E2F1	FBXO5
UBE2V1	PELI2
AKT1	KAT6A
PTPN12	NRG1
NBN	SUMO2
STAT3	TYK2
CAPZA3	GALNT2
RPA1	DDB1
ULK1	RHEB
PTPN6	IL5
DUSP3	MAPK7
GRIK3	PLCB1
EGF	RHOA
MYBPC2	MYL1
FYN	EFNB1
SEC24D	RAB1A
CUX1	STAT5A
GYS2	GYG2
SCFD1	USO1
DDB2	CUL4A
DLG3	NRAS
FGFR1	SHC1
MGA	TFDP1
XRCC5	DCLRE1C
ARHGEF6	CDC42
OIP5	MIS18A
MAPK1	KSR1
PRKAA1	RPTOR
NR1H2	PLIN1
LEP	IRS1
RPTOR	RB1CC1
MAP3K7	TAB3
HDAC7	NR2E1
PCSK1	INS
SH2D2A	PIK3CB
POLA1	PRIM1
DLG4	CIT
MRE11	RNF168
SYK	PIK3R1
GRB2	FRS3
BCL2	ESR1
SEC24D	GORASP1
STAT5B	CSF2RB
AP1S2	HLA-A
DSN1	PMF1
ESCO2	PDS5A
DENND4A	RAB10
ERBB2	NRAS
NFYA	NFYB
KCNJ4	KCNJ14
TYK2	IL23A
FGFR2	NCBP2
HBB	HPX
CDC45	RPA2
ELOC	EGLN1
FCGR3A	CD3G
KPTN	CASTOR2
CDK1	CBFB
CTDP1	SUPT5H
KLRK1	LCK
ANKRD27	GDI1
PRKAA1	ATG14
FBXW11	REL
BIRC2	TRADD
EPM2A	PPP1R3C
LYN	SHC1
C1QC	C1S
MAPK3	CBFB
COPB1	GBF1
IL7	HGF
RAB6A	CHML
RHEB	MTOR
IFIH1	IKBKE
PCNT	HDAC6
HSP90AA1	RNASE1
PLCG1	FGF19
LRFN4	LRFN2
PHLPP1	AKT1
RET	ARTN
SRC	HGF
CASK	APBA1
C1S	SERPING1
MLST8	RHEB
ECE2	EDN1
SLC3A2	SLC7A7
GCG	GCGR
GFRA4	RAP1GAP
GAPVD1	CHM
PIK3CB	PIK3R2
TDGF1	NODAL
STAT5B	IL3RA
E2F1	MAX
TP53BP1	RIF1
RAD50	PIAS4
PAK2	PLXNA3
EIF4E	EIF4A3
TRAF2	TRIM25
XRCC5	NBN
TRIM25	IKBKE
AIP	HSP90AB1
NFYA	EP300
PARVA	TESK1
MAP3K7	TICAM2
MAML3	GZMB
FES	FYN
SMARCA2	SMARCC2
NFKB1	FBXW11
AP2S1	AP2M1
PTK2	TLN1
IL3RA	PIK3R1
XRCC1	RPA1
DCC	ROBO1
MMP13	OPTC
TSC2	TBC1D7
COL18A1	LAMC1
AP1S1	AP1B1
GNB1	BTK
MKNK1	PPP2CB
CREBBP	ARNT
TNKS2	AXIN2
JAM2	ITGA4
ARF4	GBF1
DDX58	UBE2L6
YWHAB	MAP2K2
LAMB3	ITGB4
CNGA4	RAB11A
PARP1	RBBP8
CREB1	SST
DCC	CDC42
AP1S1	CD74
ROCK1	MYH9
SSR3	SSR1
NCBP1	NELFB
CD3G	CD1D
HOXD3	EZH2
PIK3R1	KLRD1
LRP8	APOE
COL1A1	RUNX2
TSPOAP1	UNC13B
EIF4E2	ISG15
WLS	SNX3
IRAK2	TLR9
VTI1A	VPS51
JAM3	ITGAM
LGALS3	RUNX2
UBE2I	PML
LY96	MYD88
PDHB	GCSH
PTEN	MECOM
FASLG	FOXO3
SRC	DOCK1
HERC5	EIF4A2
UBE2T	FANCD2
RHOB	ROCK2
CAMK2A	GRIN2B
FLNA	FBLIM1
S100B	CAPZA2
PTK2	ITGA2B
TEC	KITLG
EPOR	LYN
ERBB2	GAB1
MMP9	FBN2
TP73	BBC3
FOXO1	CREBBP
SMAD2	MSTN
GTF2B	GTF2E1
PLCG1	NRTN
PIGG	PIGF
PRKG1	KCNMA1
SHH	DERL2
PTPN1	ITGA2B
KDR	PAK2
TNRC6C	AGO2
POLD4	RAD18
TSPAN15	ADAM10
NRIP1	ARNTL
PPM1B	ISG15
YWHAB	RHEB
PIK3CA	GAB1
APP	AGRN
PRKAA1	RRAGC
KIRREL1	SPTBN1
PIK3R1	CSF2RA
CAMK2A	CALM1
IGFBP5	IGFALS
PRKCA	NCF4
FYN	NCAM1
YWHAB	MARK3
ERBB2	RNF41
TP53	USP10
AKT2	RALGAPB
WWTR1	TBX5
FERMT2	FBLIM1
RAC1	EFNB3
WNT5A	WIF1
VHL	HIF1A
DMP1	ITGB3
KDM4A	H2AX
IRAK2	TAB1
PLK1	RAB8A
ERBB4	BTC
JAK2	CRKL
CXCL12	ACKR3
MBTPS1	CREB3L2
PRKAA2	DYNLL2
LAMA5	LAMC2
MAPK8	ATM
IGFBP5	IGF2
AVP	ARRB2
IKBKE	TICAM1
LAMC1	LAMA4
SCFD1	STX5
FANCM	FAAP24
NFYB	DHCR7
MYBL2	CCNB2
CREBBP	FOXO1
MAPKAPK2	TNPO1
STRADB	STK11
STAT3	JAK1
RAB11A	RAB8A
NFKB2	MAP3K14
RAB1A	GDI1
PPP6C	PPP6R1
CD8A	TRAV19
STAT1	IL24
MYLK	MYH14
MAP3K14	BTRC
PLXNA2	PAK1
SPTLC3	SPTSSA
PRKACB	ROBO2
RCVRN	GRK1
XPO1	CBY1
POLI	MAD2L2
CAVIN1	UBTF
STIP1	HSP90AA1
LGR5	RSPO1
REV1	RPA3
LAMC1	DAG1
EPN1	UBQLN2
SRC	GIT1
SUZ12	MTF2
MYL1	MYBPC2
RDH10	RLBP1
CAPNS1	CDK5R1
NCOR2	SMAD2
RAB7A	CHM
PLK1	FOXM1
CRK	PXN
UBE2D1	EPAS1
CD14	MYD88
DLG3	ACTN2
STAT3	IL4R
CBL	UBE2M
GAPVD1	GDI1
VCP	PCNA
PAK3	EFNB3
GFRA4	NRTN
RAB8A	GDI2
GH2	STAT5A
CSF2RB	PTPN11
CSF2RA	PIK3R1
MTREX	C1D
NR3C1	EPAS1
SRC	FGG
TF	TFRC
SLC3A2	SLC7A8
CHRNB3	CHRNB4
CALM1	DLG1
ROCK2	KDR
SRC	UNC5C
RAP1A	TLN1
E2F6	EED
CAV1	HSP90AA1
FGFR3	PTPN11
PACS1	AP1S1
MMP14	LAMC1
ARHGEF12	GNA13
ITGB1	FBN1
PRKACA	MAPKAPK5
BIRC2	TRAF3
VPS36	VPS37C
COPB1	RAB1B
DUSP7	MAPK3
CD8B	CD3D
PTHLH	PTH1R
GRB2	EREG
RAP1B	GRB2
OAZ3	AZIN1
IRS2	LEP
SCFD1	GOSR2
CDC7	RPA4
VCL	RAP1B
UBE2M	CUL4B
DSN1	NSL1
IRS2	GAB1
IL6R	STAT3
ACVR1C	INHBA
KDM4B	UBE2I
TIAM1	EFNB2
F11R	ITGB2
SBF2	CHML
MAPK12	CTNNA2
RHOA	KDR
SYK	FCGR3A
TRAF6	PDPK1
GRAP2	VAV2
GSK3B	FRAT2
FYN	GRIN2B
CDC37	EGF
TGFBR2	SMAD3
NDUFAF5	NDUFAF6
VCL	VWF
LIG1	POLD2
KCNMB2	KCNMB3
RARA	CEBPE
IL2RB	IL2RA
BRCA1	ATM
MALT1	TAB1
CBFB	SMURF1
TSC22D3	SGK2
EIF4E	EIF4B
ERBB4	GABRQ
GRB2	BTC
STX5	GORASP1
ATG101	MTOR
FOXO1	AGRP
JAK1	IL9R
MON1A	GDI2
CD3G	PIK3R2
PLCB2	GNA11
GGA1	BACE1
COL4A3	COL4A4
CPT1A	RORA
KCNJ9	GNB3
GRB2	SHC1
BRCA1	SUMO1
DIAPH3	RHOB
PEX14	ZFAND6
F2RL2	F2R
TIAM1	LYN
ITGB4	PLEC
EGFR	SH3KBP1
CFLAR	FASLG
PIK3CD	PIK3R3
GTF2F2	SUPT5H
CAMK2A	CAMK2G
RXRA	NCOR2
PDGFA	SRC
CD247	PIK3CA
NRG4	DIAPH1
PIK3CA	LYN
TLR4	TIRAP
KMT2A	RUNX1
PIK3CA	CD86
PTPN6	PECAM1
RUNX3	BCL2L11
ERBB2	ERBB3
NOTCH1	JAG2
MAPK1	AP2S1
MET	CRK
CETN1	PLIN2
RHPN1	ROPN1
CLTC	CD74
PIK3CA	FRS2
CD4	LCK
DYNC1LI2	DCTN4
NCOA2	SUMO1
NTS	NTSR1
RAB5B	RABGEF1
SH3GL2	HGS
CDK9	SUPT5H
FYN	FLT3LG
FCGR2A	PIK3R1
CASP6	LMNA
NPRL3	DEPDC5
SHANK1	DBNL
BMP2	ACVR2A
CD81	CD19
RIPK1	CASP10
ADAM10	JAG1
SIRT3	FOXO3
FOXO1	MSTN
MYL12B	MYL6
PRKACB	RELA
ROCK1	PPP1R12B
BDNF	DOCK3
PRKAG1	PRKAA2
ITGA2B	PRMT6
VAV3	TEC
PIK3CA	EPO
ACTB	SPTA1
GABRQ	GABRB1
PRKAG2	SESN1
IRAK2	BTK
RUNX2	AR
PPFIA3	UNC13B
EIF4E2	UBE2L6
CSF3R	SPI1
RAB1B	USO1
RND1	ARHGEF12
PAK3	PAK1
GP1BB	GP9
KCNN2	KCNN1
CASP3	PRKCD
CCNT2	SMAD3
PHB2	PHB
EIF4G3	EIF4A1
KAT5	BLM
ETFBKMT	ETFB
CCND1	CDKN1B
RAD50	RMI2
PARD3	PARD6A
ST14	KLK5
CD4	ARF1
USP18	IFNAR2
DDX58	CASP10
RNF168	SUMO1
KCNJ9	KCNJ3
STX1A	STXBP2
FN1	SRC
ESR1	GNAT3
ATM	TP53
NDUFAF4	ND4
CSNK1A1	SMO
EIF2AK3	HSPA5
RBBP7	DNMT3A
KDM4C	KLK2
HSPA8	PCNT
PLOD3	PLOD1
RUNX2	IHH
SPTA1	PTPRA
PIK3R1	CD28
GDI1	RAB32
PLXNB1	RRAS
CLTC	AP2A2
GPNMB	LRRK2
NTF4	PTPN11
TPRKB	OSGEP
WDR77	SMARCC2
ADD1	DMTN
KLF15	ARNTL
GAD1	MECP2
PAK3	RAC1
TULP3	WDR19
TNFRSF1A	MADD
SOCS1	JAK1
GFRA2	FRS2
CCNA2	E2F4
CYCS	PPARGC1B
GNB1	F2R
STAM2	VPS37D
ELOC	ELOA3D
EHMT1	TFDP1
IDH3B	IDH3G
HCFC1	BAP1
PGLYRP4	PGLYRP3
TYK2	JAK2
ITGAV	ITGB5
CD1D	CD3G
SH2B3	JAK2
HSPA8	PLIN2
PDGFRB	PDGFB
ANGPT2	TEK
VAV2	YES1
CCNB2	USO1
RARA	SUMO2
NCOR1	SKIL
BRIP1	RPA1
SHC1	PIK3R1
PPFIA1	RIMS1
ARCN1	COPA
CAPZA1	DCTN5
IGLL1	VPREB3
IRAK4	TOLLIP
CAMK2D	CAMK2G
UBE2I	TP53
EPAS1	CUL2
FCGR1A	DOCK1
DENND5B	CHM
ADORA2A	NTRK1
CTF1	LIFR
PRKAR1A	PRKAR2A
VAV1	SYK
PLXNA1	NRP1
TICAM1	TICAM2
DYNC1I2	DCTN3
PCNA	ISG15
JAK3	IL2RB
STAT4	STAT1
LYN	MS4A2
STX10	IGF2R
FGF23	SHC1
GNA15	F2RL3
CBFB	RUNX1
AHR	HSP90AB1
ELP2	ELP5
PPM1K	DBT
FANCI	FANCD2
PELI2	PELI3
PIK3CD	JAK2
HSPA8	HBB
SRC	WASL
MAPK3	PPP2R5C
GNB3	GNG13
CDON	SHH
IRAK1	CD14
RRAGA	ATG101
UPF3B	UPF2
FKBP4	HSP90AB1
BCKDHB	DBT
CYP51A1	SREBF1
LY96	MAP3K7
NCBP2	CTDP1
CSK	FGA
DNAJA2	HSP90AB1
PPP2R5D	MAPK1
ATM	RAD50
USP1	PCNA
INHBA	INHBC
AKT1	RHEB
ADAM15	CDH1
UBE2I	UBA2
CAPZA1	DCTN2
NFKB1	REL
AP1S3	AP1M1
IRS2	SH2B1
ANGPT1	PIK3R1
GFRA1	NRTN
PTPN11	KL
SLC38A9	MLST8
DNAL4	SH3GL2
RAB31	CHML
GLI1	ITCH
MAP2K1	NRAS
ATP6V1H	AP2A1
PPP1R12B	MYH9
RIPK2	TAB3
STAT1	IL13
MAPK11	MEF2C
GCK	FOXO1
GRIN2A	GRIN1
FO681507.1	HOMER3
MET	ARHGAP35
FOXO3	FBXO32
SUMO1	THRB
GGCX	F10
CSK	PAG1
VEGFD	KDR
ACVR2A	BMPR1B
PIK3CA	FGFR4
FGFR1	KRAS
CCNC	MAML3
NTF3	SOS1
BAX	TP53BP2
DLG4	RHOB
WEE1	CCNB1
CD4	SKP1
C8A	C9
SEC24D	SREBF2
UBE2N	PELI1
F2R	GNA15
PEX7	PEX13
LRP2	DAB2
CRTAP	P3H1
SRC	FYN
CD3G	ELMO1
EPRS1	DUS2
SOCS1	IFNG
POLD2	POLD3
STAT5A	JAK2
CDKN2A	TFDP2
KRT28	FLG
PDGFRB	CRKL
BCAR1	PTK6
PRDM4	NGF
EIF4E	NXF1
CSTF2T	NCBP1
ACTN2	CAMK2D
SRC	PIK3R1
PLCG1	GRAP2
ARNTL	DBP
CPE	INS
MADD	CHM
EED	E2F3
MMS19	CIAO3
TRAV29DV5	CD3E
DNA2	PRIM1
IL1R2	IL1A
HDAC1	E2F5
BOC	CDH2
OIP5	MIS18BP1
AP2B1	AP2A1
CCND1	HDAC4
CRY1	CLOCK
STRN	PIK3R1
PARP1	UBE2I
REPS2	EPS15
THBS1	ITGA3
SRC	L1CAM
EIF4A2	EIF2S1
MYB	CBFB
MAPK12	MEF2A
PCNA	RPA1
SMAD2	TGFBR2
CREB1	MECP2
NOTCH3	EGF
MALT1	PYCARD
TRAV8-4	GRAP2
DVL3	WNT3A
KIF3C	IFT20
THBS1	HDAC1
FAS	FADD
MIS12	NUF2
NELFA	CCNT2
TNS4	ITGB1
TRAF3	BIRC3
ABRAXAS1	RNF168
NTN1	SIAH2
EPO	STAT5A
DYNC1LI1	DCTN3
LEPR	STAT5B
PAPPA2	IGF1
RNASE1	CFTR
EIF4H	EIF2S2
CTSG	IGF1
VEGFA	PAK2
CAPNS2	CAPN2
FANCI	ATR
GFRA4	PIK3CD
PIK3CA	CSF2
RAB8A	CHM
ITGB3	GRB2
H1-0	HIRA
FURIN	FLG
CDC45	GINS2
TRAF2	CFLAR
FAS	TP63
RUNX2	SP7
CLTC	CLTA
NR3C1	SUMO1
CSK	LCK
RAC1	ELMO1
TRAF6	TLR7
FGB	SRC
BUB1B	BUB3
ATF7IP	SETDB1
NRG4	BTC
SPINK9	KLK5
CCNT1	MYB
TP53	AURKB
IL12B	IL12RB2
CUL1	NFKBIA
DCTN1	GALNT2
IKBKG	IKBKB
FEN1	PRIM2
PLCB1	PLCB3
EFNB3	TIAM1
KRT25	FLG
CRY1	ARNTL
PICK1	GRIA2
IKBKG	REL
CNTF	JAK2
CRK	VWF
RUNX1	GP1BA
ULK1	AMBRA1
VAMP3	RABEPK
PRKACG	MLXIPL
BMP1	LAMB3
MAPK3	RPS6KA2
NRG2	RHOA
NANOG	FOXD3
PDE6B	PDE6G
CACNG4	ADAM22
FGFR2	CBL
POFUT1	NOTCH3
CIT	RHOC
POLA1	POLD2
SUMO1	NR3C1
NAPA	BET1
SRC	FGB
TLE1	XIAP
LRFN4	DLG3
CBFB	BGLAP
DLG4	GRIK3
TRAF6	MAPK8
ROCK1	SRC
TP53	USP24
NFYC	NFYB
PIK3R2	SHC1
RNF168	RNF8
NTN1	UNC5B
NLRC5	DDX58
CCNT1	SMAD3
GRIN1	EFNB1
CASP10	CHUK
USP46	HDAC3
CTBP1	SUMO2
GANAB	PDIA3
TIRAP	BTK
TNKS	AXIN2
PPARGC1A	SUMO1
HSP90AA1	ELMO1
TSG101	MVB12B
POLD2	CUL4A
PLXNA3	PAK1
C1D	MPHOSPH6
FANCD2	RPA2
SUPT4H1	CTDP1
TFDP1	CDC45
DENND2A	CHML
PRKAG2	MLXIPL
RTN4R	OMG
ARCN1	COPZ1
CHRNB4	CHRNA6
HLA-A	AP1S3
SHC1	INS
PDK3	PDHA1
ERCC4	RAD52
RAB5A	TBC1D3
AKT1	NOS3
CDK1	RBL1
VAV3	LCP2
MTREX	EXOSC10
STAT5B	IL2RG
PPP6C	ANKRD28
SMAD3	SP1
PKN1	CDC25C
PIK3CA	STRN
KRAS	MAP2K2
FBLN1	FN1
KPNB1	KPNA1
GH2	GHR
SHANK1	DLGAP2
DNMT1	UBE2I
ROBO3	ROBO2
CDH5	CTNNA1
BRAF	LAMTOR2
ZBP1	DTX4
ARRB2	AP2A2
MYB	TP53
LAMB2	LAMC2
ARF4	COPE
RB1CC1	PRKAA2
RBX1	NFKB1
MAPK1	YWHAB
ULK1	PRKAA1
BRCA1	RAD50
USP8	MET
MLST8	RB1CC1
HSP90B1	TLR9
SHC1	HBEGF
CDC45	GINS4
CDK9	GTF2F1
MAPK14	CTNNB1
IRS2	STAT5A
CENPX	FAAP24
JARID2	RBBP4
EREG	EGF
CALM1	NFATC3
LEPR	STAT3
TGFBR1	TGFB1
ROCK1	MYL9
EXO1	PCNA
RRAGA	RRAGC
PIK3R1	KIT
RBX1	CUL3
PTEN	TP53
FGFR1	PIK3CA
STAT3	IL22
SH2D2A	SRC
DDX58	SIKE1
UBE2L6	EIF4A2
ARL3	UNC119B
CRLF2	STAT3
PRKCZ	KRAS
RAF1	SGK2
IQCE	EFCAB7
PCSK6	LPL
CLIP1	IQGAP1
NCK2	SOS2
CTNNA2	CDH15
PROC	F5
POLD3	DTL
RNF8	UBE2I
IL33	IL1RL1
TIAM1	EFNB1
SLIT2	ARHGAP39
CACNA2D3	CACNB1
EIF4A1	EIF2S2
KIF4B	AP2B1
CCNK	SMAD2
PRKACB	GLI2
SMAD2	TRIM63
AP2S1	NGF
TICAM1	TLR3
CD36	BTK
LCK	CD247
USP37	CCNA1
ATG13	RRAGA
ERBIN	HBEGF
E2F1	TK1
NSMAF	SMPD3
HSP90AB1	HSPA8
VTN	ITGAV
JAK2	EBI3
SEC24C	RAB1A
STX16	IGF2R
STAT5A	IL7
RTEL1	XRCC3
DNM2	CLTA
MAPK12	CDH15
LIPC	LMF1
ARTN	PIK3CA
COMP	ITGA5
EP300	BRD7
IL20	IL22RA1
RUNX1	PF4
SEC24C	CD74
PIK3R1	IL5
RHOA	MYL6
POLD2	RPA2
SUMO1	HDAC1
RND1	RHOB
HDAC1	RUNX1
ALPK1	TAB2
TSC1	TBC1D7
SHC1	PLCG2
LATS2	WWC1
ACTB	MYO1C
PSPN	RAP1GAP
COPB1	ARCN1
IRAK4	MYD88
TNFRSF10A	TNFRSF10B
IRAK1	TLR8
CD8B	CD3E
GRB7	GFRA1
TBL1X	NR1H2
CD4	CD3E
CD4	TRAV8-4
HDAC3	NR1H2
PEX13	PEX26
ATXN3	PRKN
GGA3	RABGEF1
GRB2	SOS1
RAB1B	COPA
TFDP1	RBBP7
TAB1	TAB2
CISH	GH2
PAK1	SEMA3A
YWHAB	ZFP36L1
CLTA	L1CAM
TMED9	TMED10
SUZ12	EED
TBK1	STAT6
VPS25	UBAP1
PARK7	LAMP2
RIPK1	CHUK
TLR5	IRAK4
GNAQ	KALRN
IFT20	KIF3B
TP53	RRM2B
TEC	GRAP2
INHBB	ACVR1B
RPA3	UBA7
TSHR	TSHB
NCF1	RAC1
F2	IGFBP3
SH3KBP1	CD79A
HDAC1	CBFB
IGFBP3	TP53
COL4A4	COL4A3
NRG2	GABRG3
SH3GL2	CBL
CACNG3	ADAM23
GRB2	CD79B
IL24	STAT3
BTRC	NFKBIE
PVR	CD96
GNA14	PLCB3
FGF23	NRAS
C12orf66	CASTOR1
RNF135	IKBKE
FCER1G	GRB2
TRAF6	NGF
CYLD	NOD2
NR4A3	RUNX1
UBE2I	NR5A1
CLTB	AP2B1
DCTN5	PAFAH1B1
PHKA1	PYGB
SEC24A	CD74
ATG13	RRAGC
ADAM22	ADAM23
FGFR2	NCBP1
EIF1AX	PABPC1
TRAV19	TRAV8-4
GNA15	BTK
CAMK2A	DLG4
GTF2E1	GTF2E2
MS4A2	GRB2
KPTN	CASTOR1
RRM2	GLRX
RAB5A	GGA3
CAPZA3	DCTN6
BIRC3	MAP3K14
SELE	CD44
DUSP9	MAPK3
OPN1SW	GNAT2
DFFB	DFFA
SRC	EFNB3
GSK3B	FRAT1
AR	NCOA2
NUP58	NUP62
PTPN11	JAK1
VTI1A	VAMP3
CAPZA3	DCTN5
BNIP2	CTNNB1
TLR4	IRF3
AKT1	CDKN1A
IAPP	RAMP2
FYN	NGEF
CYLD	TRAF2
ITGB1	LAMA5
METTL1	WDR4
SEC24C	MIA3
MSRB3	TXN
PIAS4	SUMO2
IFNB1	TYK2
EFNB2	KALRN
DVL2	WNT5A
MTTP	APOB
EIF4A1	EIF2S3
SNW1	EP300
IL31RA	JAK1
EIF4E2	HERC5
ELMO1	DOCK1
CBL	VAV1
PRKAB1	MLST8
YES1	NGEF
MDM2	CACNG4
DYNC1H1	CAPZA1
TICAM1	IKBKG
GSK3B	PLXNA1
TAB2	CARD9
STAT3	IL10
NUAK1	TP53
TRPC1	TRPC3
GFRA1	GFRA4
NRG2	MEMO1
JMY	TP53
PRLR	GH2
PIK3CD	GAB1
ODC1	OAZ3
FO681507.1	DLG2
MARK3	RAF1
PDGFA	SPP1
MAPK1	LAMTOR3
PCSK6	NODAL
FARP2	RAC1
KSR1	MARK3
SRC	RAC1
COPE	COPB2
CSNK2A1	FUNDC1
SUMO1	NR1H4
ERBB2	RHOA
RHOA	DVL2
ATM	RIF1
GRB7	PDGFRB
UFD1	VCP
SMURF2	SMAD7
WDR77	CDK4
CHUK	RELA
HBEGF	GPNMB
VPS36	VPS37A
RHEB	MAF1
UIMC1	RAD50
LAT2	SHC1
DDX5	CARM1
RMI1	XRCC3
VWF	ITGAV
HYAL2	HMMR
F2R	GNB1
FCGR3A	PIK3CB
CD3D	GRAP2
MYH3	MYL3
INCENP	CDCA8
POLQ	RAD50
ITPR2	AHCYL1
PROK1	PROKR1
CD3E	TRBV7-9
RPA3	ERCC5
PEA15	MAPK1
RAB8A	RAB11A
BARD1	ATM
MYC	CEBPB
CSF2RB	STAT5B
F3	F10
CAND1	CUL3
PTPRJ	TRAV8-4
ACVR2B	INHBA
DPH2	DPH1
GH2	SH2B1
JAK2	GH2
OS9	SEL1L
RABGGTB	CHML
NANOG	FGF2
RGS9	RGS9BP
ULK1	RB1CC1
CUL4B	CETN2
CAMK2B	GRIA1
ERBB2	ARHGEF12
NRF1	TFB1M
IGFBP7	JUN
STAT4	JAK2
GNA15	KALRN
FZD2	WNT5A
AKT1	SLC38A9
CTSZ	LMAN1
VEGFC	FLT4
SLIT2	NCK2
RHOC	MYL6
RPA1	ISG15
JARID2	MTF2
COPA	USO1
BTC	NRG1
SESN1	NPRL3
TFAP2C	TFAP2A
BCL2L11	EP300
RAD50	TP53BP1
IL4	IL2RG
AGL	GYG2
DCC	EZR
COPB1	COPA
FCGR3A	CRK
RHOQ	GOPC
PRKAR1A	AKAP5
NFYA	PMVK
FN1	RAP1A
TTN	MYH8
TYK2	STAT1
PTPRJ	TRAV19
FOXO1	NFYC
CSTF2	NCBP1
SUMO1	FOXL2
BTLA	GRB2
CD163	HBB
CDKN1B	CCNE2
RHO	GNAT1
CAMK2G	STAT1
CALM1	MYH14
EP300	BCL2
PLCB4	GNAQ
SUZ12	AEBP2
CAPZA2	DCTN4
PIK3R1	KL
SIPA1L1	GRIN1
AP1M1	AP1S1
CDH5	JUP
MRE11	SUMO2
GNB5	RGS7
CNGA2	RAB11A
PARP1	RBX1
SOCS1	IFNB1
GFRA2	PIK3CD
KIF2B	KIF2C
TEK	GRB7
RAB18	RAB3GAP1
CD3E	TRAV8-4
SHANK2	DLGAP1
ATG101	MLST8
TRAF3	TNFRSF11A
NAPA	BNIP1
NCSTN	TRAF6
PTK6	LRRK2
EREG	RHOA
RAC1	PAK3
H2AX	KAT5
DHX9	MYD88
HIF1AN	EPAS1
ATM	WRN
HGF	TNS4
PTGES3	PPID
CXCR4	SLIT2
EZH2	MTF2
BMPR2	SMURF2
PEX10	UBE2D1
NLRC5	RNF135
CNTFR	CNTF
CD3E	PRKCQ
NPAS2	CRY2
PLXNA2	FES
PCGF6	MGA
YWHAZ	FOXO3
RAB31	GDI2
AGO3	TNRC6A
